ARO_id	n_samples	gene_label	broad_class	Resistance Mechanism
ARO:3004667	1	Staphylococcus aureus norA	fluoroquinolone	antibiotic efflux
ARO:3004683	1	aadS	aminoglycoside	antibiotic inactivation
ARO:3003577	1	ugd	peptide	antibiotic target alteration
ARO:3002628	1	ant(6)-Ia	aminoglycoside	
ARO:3000165	1	tet(A)	tetracycline	
ARO:3006871	1	blaCSP	beta-lactam	
ARO:3002505	1	PDC-6	beta-lactam	antibiotic inactivation
ARO:3006658	1	blaPDC	beta-lactam	
ARO:3002596	1	AAC(6')-IIc	aminoglycoside	antibiotic inactivation
ARO:3006538	1	PDC-16	beta-lactam	antibiotic inactivation
ARO:3006226	1	CepA-49	beta-lactam	antibiotic inactivation
ARO:3006092	1	OXA-904	beta-lactam	antibiotic inactivation
ARO:3002602	1	aadA2	aminoglycoside	antibiotic inactivation
ARO:3005722	1	OXA-114w	beta-lactam	antibiotic inactivation
ARO:3005713	1	OXA-114m	beta-lactam	antibiotic inactivation
ARO:3005703	1	OXA-114c	beta-lactam	antibiotic inactivation
ARO:3005323	1	blaOXA	beta-lactam	
ARO:3005166	1	Tet(X1)	tetracycline	antibiotic inactivation
ARO:3005099	1	erm(A)	macrolide/MLSB	
ARO:3005098	1	qacL	other	antibiotic efflux
ARO:3002606	1	aadA6	aminoglycoside	antibiotic inactivation
ARO:3000027	1	emrA	fluoroquinolone	antibiotic efflux
ARO:3002671	1	Lactobacillus reuteri cat-TC	phenicol	antibiotic inactivation
ARO:3002623	1	aadD1	aminoglycoside	
ARO:3000074	1	emrB	fluoroquinolone	antibiotic efflux
ARO:3000178	1	tet(K)	tetracycline	
ARO:3004455	1	catA	phenicol	
ARO:3000177	1	tet(J)	tetracycline	antibiotic efflux
ARO:3003890	1	Escherichia coli UhpT with mutation conferring resistance to fosfomycin	fosfomycin	antibiotic target alteration
ARO:3003889	1	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	fosfomycin	antibiotic target alteration
ARO:3003841	1	kdpE	aminoglycoside	antibiotic efflux
ARO:3003807	1	Escherichia coli acrR with mutation conferring multidrug antibiotic resistance	beta-lactam	antibiotic target alteration; antibiotic efflux
ARO:3003776	1	Staphylococcus aureus murA with mutation conferring resistance to fosfomycin	fosfomycin	antibiotic target alteration
ARO:3003055	1	smeD	macrolide/MLSB	antibiotic efflux
ARO:3000516	1	emrR	fluoroquinolone	antibiotic efflux
ARO:3000828	1	baeR	aminoglycoside	antibiotic efflux
ARO:3003112	1	lsa(C)	macrolide/MLSB	
ARO:3000595	1	ErmT	macrolide/MLSB	antibiotic target alteration
ARO:3000617	1	mecA	beta-lactam	
ARO:3003684	1	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	fluoroquinolone	antibiotic target alteration
ARO:3003306	1	Morganella morganii gyrB conferring resistance to fluoroquinolones	fluoroquinolone	antibiotic target alteration
ARO:3003378	1	Escherichia coli marR mutant conferring antibiotic resistance	beta-lactam	antibiotic target alteration; antibiotic efflux
ARO:3000793	1	mdtB	other	antibiotic efflux
ARO:3003381	1	Escherichia coli soxR with mutation conferring antibiotic resistance	beta-lactam	antibiotic target alteration; antibiotic efflux
ARO:3003392	1	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	other	antibiotic target alteration
ARO:3003901	1	Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin	fosfomycin	antibiotic target alteration
ARO:3003905	1	ANT(4')-Ib	aminoglycoside	antibiotic inactivation
ARO:3003950	1	msbA	other	antibiotic efflux
ARO:3002858	1	dfrA12	trimethoprim	antibiotic target replacement
ARO:3002687	1	catQ	phenicol	antibiotic inactivation
ARO:3001405	1	OXA-10	beta-lactam	antibiotic inactivation
ARO:3000815	1	mgrA	beta-lactam	antibiotic efflux
ARO:3004085	1	lnuG	macrolide/MLSB	antibiotic inactivation
ARO:3002837	1	lnu(C)	macrolide/MLSB	
ARO:3002854	1	dfrA1	trimethoprim	antibiotic target replacement
ARO:3000196	1	tet32	tetracycline	antibiotic target protection
ARO:3001329	1	mdtG	fosfomycin	antibiotic efflux
ARO:3003046	1	qacA	fluoroquinolone	antibiotic efflux
ARO:3003002	1	CfxA2	beta-lactam	antibiotic inactivation
ARO:3001328	1	Escherichia coli mdfA	tetracycline	antibiotic efflux
ARO:3004043	1	Escherichia coli acrA	beta-lactam	antibiotic efflux
ARO:3004039	1	Escherichia coli emrE	macrolide/MLSB	antibiotic efflux
ARO:3000263	1	marA	beta-lactam	antibiotic efflux; reduced permeability to antibiotic
ARO:3000830	1	cpxA	aminoglycoside	antibiotic efflux
ARO:3003962	1	farB	other	antibiotic efflux
ARO:3000491	1	acrD	aminoglycoside	antibiotic efflux
